20250616034041,192.168.0.133,5113,192.168.0.123,51429,3,0.0-1.0,2268210,18145680,0.095,0,1543,0.000,0
20250616034042,192.168.0.133,5113,192.168.0.123,51429,3,1.0-2.0,2263800,18110400,0.101,0,1540,0.000,0
20250616034043,192.168.0.133,5113,192.168.0.123,51429,3,2.0-3.0,2266740,18133920,0.107,0,1542,0.000,1
20250616034044,192.168.0.133,5113,192.168.0.123,51429,3,3.0-4.0,2265270,18122160,0.090,0,1541,0.000,1
20250616034045,192.168.0.133,5113,192.168.0.123,51429,3,4.0-5.0,2265270,18122160,0.092,0,1541,0.000,1
20250616034047,192.168.0.133,5113,192.168.0.123,51429,3,5.0-6.0,2265270,18122160,0.076,0,1541,0.000,1
20250616034047,192.168.0.133,5113,192.168.0.123,51429,3,6.0-7.0,2265270,18122160,0.081,0,1541,0.000,0
20250616034048,192.168.0.133,5113,192.168.0.123,51429,3,7.0-8.0,2265270,18122160,0.102,0,1541,0.000,9
20250616034049,192.168.0.133,5113,192.168.0.123,51429,3,8.0-9.0,2265270,18122160,0.095,0,1541,0.000,1
20250616034051,192.168.0.133,5113,192.168.0.123,51429,3,9.0-10.0,2265270,18122160,0.070,0,1541,0.000,0
20250616034051,192.168.0.133,5113,192.168.0.123,51429,3,10.0-11.0,2265270,18122160,0.123,0,1541,0.000,0
20250616034053,192.168.0.133,5113,192.168.0.123,51429,3,11.0-12.0,1975680,15805440,0.211,28,1372,2.041,13
20250616034053,192.168.0.133,5113,192.168.0.123,51429,3,12.0-13.0,2471070,19768560,0.106,0,1681,0.000,1
20250616034055,192.168.0.133,5113,192.168.0.123,51429,3,13.0-14.0,2307900,18463200,0.086,0,1570,0.000,0
20250616034055,192.168.0.133,5113,192.168.0.123,51429,3,14.0-15.0,2266740,18133920,0.129,0,1542,0.000,1
20250616034056,192.168.0.133,5113,192.168.0.123,51429,3,15.0-16.0,2265270,18122160,0.067,0,1541,0.000,1
20250616034057,192.168.0.133,5113,192.168.0.123,51429,3,16.0-17.0,2253510,18028080,0.139,0,1533,0.000,29
20250616034059,192.168.0.133,5113,192.168.0.123,51429,3,17.0-18.0,2269680,18157440,0.135,1,1545,0.065,4
20250616034059,192.168.0.133,5113,192.168.0.123,51429,3,18.0-19.0,2271150,18169200,0.199,0,1544,0.000,5
20250616034100,192.168.0.133,5113,192.168.0.123,51429,3,19.0-20.0,2265270,18122160,0.114,0,1541,0.000,3
20250616034102,192.168.0.133,5113,192.168.0.123,51429,3,20.0-21.0,2265270,18122160,0.149,0,1541,0.000,0
20250616034102,192.168.0.133,5113,192.168.0.123,51429,3,21.0-22.0,2265270,18122160,0.091,0,1541,0.000,1
20250616034103,192.168.0.133,5113,192.168.0.123,51429,3,22.0-23.0,2266740,18133920,0.115,0,1542,0.000,0
20250616034104,192.168.0.133,5113,192.168.0.123,51429,3,23.0-24.0,2263800,18110400,0.132,0,1540,0.000,0
20250616034105,192.168.0.133,5113,192.168.0.123,51429,3,24.0-25.0,2266740,18133920,0.164,0,1542,0.000,0
20250616034106,192.168.0.133,5113,192.168.0.123,51429,3,25.0-26.0,2263800,18110400,0.161,0,1540,0.000,0
20250616034107,192.168.0.133,5113,192.168.0.123,51429,3,26.0-27.0,2266740,18133920,0.136,0,1542,0.000,0
20250616034109,192.168.0.133,5113,192.168.0.123,51429,3,27.0-28.0,2266740,18133920,0.100,0,1542,0.000,0
20250616034109,192.168.0.133,5113,192.168.0.123,51429,3,28.0-29.0,2263800,18110400,0.141,0,1540,0.000,0
20250616034111,192.168.0.133,5113,192.168.0.123,51429,3,29.0-30.0,2266740,18133920,0.105,0,1542,0.000,3
20250616034111,192.168.0.133,5113,192.168.0.123,51429,3,30.0-31.0,2262330,18098640,0.542,0,1539,0.000,2
20250616034111,192.168.0.133,5113,192.168.0.123,51429,3,0.0-31.0,70186620,18108780,0.546,28,47774,0.059,77
20250616034115,192.168.0.133,5113,192.168.0.123,59924,4,0.0-1.0,2169720,17357760,0.083,0,1476,0.000,10
20250616034116,192.168.0.133,5113,192.168.0.123,59924,4,1.0-2.0,2168250,17346000,0.078,0,1475,0.000,1
20250616034117,192.168.0.133,5113,192.168.0.123,59924,4,2.0-3.0,2168250,17346000,0.099,0,1475,0.000,0
20250616034118,192.168.0.133,5113,192.168.0.123,59924,4,3.0-4.0,2168250,17346000,0.099,0,1475,0.000,0
20250616034119,192.168.0.133,5113,192.168.0.123,59924,4,4.0-5.0,2168250,17346000,0.112,0,1475,0.000,2
20250616034120,192.168.0.133,5113,192.168.0.123,59924,4,5.0-6.0,2168250,17346000,0.097,0,1475,0.000,1
20250616034121,192.168.0.133,5113,192.168.0.123,59924,4,6.0-7.0,2168250,17346000,0.106,0,1475,0.000,1
20250616034122,192.168.0.133,5113,192.168.0.123,59924,4,7.0-8.0,2168250,17346000,0.097,0,1475,0.000,1
20250616034123,192.168.0.133,5113,192.168.0.123,59924,4,8.0-9.0,2166780,17334240,0.079,0,1474,0.000,0
20250616034124,192.168.0.133,5113,192.168.0.123,59924,4,9.0-10.0,2169720,17357760,0.094,0,1476,0.000,0
20250616034125,192.168.0.133,5113,192.168.0.123,59924,4,10.0-11.0,2168250,17346000,0.099,0,1475,0.000,1
20250616034126,192.168.0.133,5113,192.168.0.123,59924,4,11.0-12.0,2168250,17346000,0.085,0,1475,0.000,0
20250616034127,192.168.0.133,5113,192.168.0.123,59924,4,12.0-13.0,2168250,17346000,0.142,0,1475,0.000,0
20250616034128,192.168.0.133,5113,192.168.0.123,59924,4,13.0-14.0,2168250,17346000,0.098,0,1475,0.000,0
20250616034129,192.168.0.133,5113,192.168.0.123,59924,4,14.0-15.0,2168250,17346000,0.153,0,1475,0.000,2
