20250616031905,192.168.0.121,54051,192.168.0.131,5111,3,0.0-31.0,222558000,57434322
20250616031905,192.168.0.121,54051,192.168.0.131,5111,3,0.0-31.0,222558000,57433829
20250616031905,192.168.0.131,5111,192.168.0.121,54051,3,0.0-31.1,172866120,44437693,0.066,33804,151400,22.328,466
20250616031938,192.168.0.121,52572,192.168.0.131,5111,3,0.0-31.0,220511760,56905853
20250616031938,192.168.0.131,5111,192.168.0.121,52572,3,0.0-31.1,192520020,49487221,0.094,19042,150008,12.694,668
20250616032011,192.168.0.121,54342,192.168.0.131,5111,3,0.0-31.0,271439910,70048746
20250616032011,192.168.0.131,5111,192.168.0.121,54342,3,0.0-31.1,203784630,52389218,0.053,46024,184653,24.925,494
20250616032044,192.168.0.121,50985,192.168.0.131,5111,3,0.0-31.0,183539790,47364917
20250616032044,192.168.0.131,5111,192.168.0.121,50985,3,0.0-31.2,162373260,41568843,8.140,14400,124858,11.533,360
20250616032117,192.168.0.121,38466,192.168.0.131,5111,3,0.0-31.0,261733500,67543828
20250616032117,192.168.0.131,5111,192.168.0.121,38466,3,0.0-31.1,209170710,53772907,0.060,35757,178050,20.083,636
20250616032150,192.168.0.121,44415,192.168.0.131,5111,3,0.0-31.0,180510120,46583256
20250616032150,192.168.0.121,44415,192.168.0.131,5111,3,0.0-31.0,180510120,46582676
20250616032150,192.168.0.131,5111,192.168.0.121,44415,3,0.0-31.1,158196990,40666897,0.099,15179,122796,12.361,349
20250616032223,192.168.0.121,50809,192.168.0.131,5111,3,0.0-31.0,294752640,76065197
20250616032223,192.168.0.121,50809,192.168.0.131,5111,3,0.0-31.0,294752640,76064851
20250616032223,192.168.0.131,5111,192.168.0.121,50809,3,0.0-31.1,222600630,57229218,0.057,49083,200512,24.479,630
20250616032256,192.168.0.121,46718,192.168.0.131,5111,3,0.0-31.0,209220690,53992436
20250616032256,192.168.0.121,46718,192.168.0.131,5111,3,0.0-31.0,209220690,53991992
20250616032256,192.168.0.131,5111,192.168.0.121,46718,3,0.0-31.1,164956050,42402121,0.109,30112,142327,21.157,429
20250616032329,192.168.0.121,50159,192.168.0.131,5111,3,0.0-31.0,236287800,60977496
20250616032329,192.168.0.121,50159,192.168.0.131,5111,3,0.0-31.0,236287800,60976871
20250616032329,192.168.0.131,5111,192.168.0.121,50159,3,0.0-31.1,210401100,54087806,0.092,17610,160740,10.956,609
20250616032402,192.168.0.121,38874,192.168.0.131,5111,3,0.0-31.0,237003690,61161984
20250616032402,192.168.0.131,5111,192.168.0.121,38874,3,0.0-31.1,184902480,47531352,0.067,35443,161227,21.983,494
