loading app allocation_app.py
loading app ryu.app.ofctl_rest
loading app ryu.controller.ofp_handler
instantiating app None of DPSet
creating context dpset
creating context wsgi
instantiating app allocation_app.py of SimpleMonitor13
instantiating app ryu.app.ofctl_rest of RestStatsApi
instantiating app ryu.controller.ofp_handler of OFPHandler
(18533) wsgi starting up on http://0.0.0.0:8080
packet in 4 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:31 00:00:00:00:00:23 1
packet in 3 00:00:00:00:00:31 00:00:00:00:00:23 2
packet in 2 00:00:00:00:00:31 00:00:00:00:00:23 2
packet in 1 00:00:00:00:00:31 00:00:00:00:00:23 5
packet in 1 00:00:00:00:00:23 00:00:00:00:00:31 3
packet in 2 00:00:00:00:00:23 00:00:00:00:00:31 1
packet in 3 00:00:00:00:00:23 00:00:00:00:00:31 1
packet in 4 00:00:00:00:00:23 00:00:00:00:00:31 5
packet in 1 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 3
packet in 2 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:32 00:00:00:00:00:23 2
packet in 3 00:00:00:00:00:32 00:00:00:00:00:23 2
packet in 2 00:00:00:00:00:32 00:00:00:00:00:23 2
packet in 1 00:00:00:00:00:32 00:00:00:00:00:23 5
packet in 1 00:00:00:00:00:23 00:00:00:00:00:32 3
packet in 2 00:00:00:00:00:23 00:00:00:00:00:32 1
packet in 3 00:00:00:00:00:23 00:00:00:00:00:32 1
packet in 4 00:00:00:00:00:23 00:00:00:00:00:32 5
packet in 1 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 3
packet in 2 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:33 00:00:00:00:00:23 3
packet in 3 00:00:00:00:00:33 00:00:00:00:00:23 2
packet in 2 00:00:00:00:00:33 00:00:00:00:00:23 2
packet in 1 00:00:00:00:00:33 00:00:00:00:00:23 5
packet in 1 00:00:00:00:00:23 00:00:00:00:00:33 3
packet in 2 00:00:00:00:00:23 00:00:00:00:00:33 1
packet in 3 00:00:00:00:00:23 00:00:00:00:00:33 1
packet in 4 00:00:00:00:00:23 00:00:00:00:00:33 5
packet in 1 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 3
packet in 2 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:34 00:00:00:00:00:23 4
packet in 3 00:00:00:00:00:34 00:00:00:00:00:23 2
packet in 2 00:00:00:00:00:34 00:00:00:00:00:23 2
packet in 1 00:00:00:00:00:34 00:00:00:00:00:23 5
packet in 1 00:00:00:00:00:23 00:00:00:00:00:34 3
packet in 2 00:00:00:00:00:23 00:00:00:00:00:34 1
packet in 3 00:00:00:00:00:23 00:00:00:00:00:34 1
packet in 4 00:00:00:00:00:23 00:00:00:00:00:34 5
packet in 1 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 4
packet in 2 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:31 00:00:00:00:00:24 1
packet in 3 00:00:00:00:00:31 00:00:00:00:00:24 2
packet in 2 00:00:00:00:00:31 00:00:00:00:00:24 2
packet in 1 00:00:00:00:00:31 00:00:00:00:00:24 5
packet in 1 00:00:00:00:00:24 00:00:00:00:00:31 4
packet in 2 00:00:00:00:00:24 00:00:00:00:00:31 1
packet in 3 00:00:00:00:00:24 00:00:00:00:00:31 1
packet in 4 00:00:00:00:00:24 00:00:00:00:00:31 5
packet in 1 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 4
packet in 2 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:32 00:00:00:00:00:24 2
packet in 3 00:00:00:00:00:32 00:00:00:00:00:24 2
packet in 2 00:00:00:00:00:32 00:00:00:00:00:24 2
packet in 1 00:00:00:00:00:32 00:00:00:00:00:24 5
packet in 1 00:00:00:00:00:24 00:00:00:00:00:32 4
packet in 2 00:00:00:00:00:24 00:00:00:00:00:32 1
packet in 3 00:00:00:00:00:24 00:00:00:00:00:32 1
packet in 4 00:00:00:00:00:24 00:00:00:00:00:32 5
packet in 1 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 4
packet in 2 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:33 00:00:00:00:00:24 3
packet in 3 00:00:00:00:00:33 00:00:00:00:00:24 2
packet in 2 00:00:00:00:00:33 00:00:00:00:00:24 2
packet in 1 00:00:00:00:00:33 00:00:00:00:00:24 5
packet in 1 00:00:00:00:00:24 00:00:00:00:00:33 4
packet in 2 00:00:00:00:00:24 00:00:00:00:00:33 1
packet in 3 00:00:00:00:00:24 00:00:00:00:00:33 1
packet in 4 00:00:00:00:00:24 00:00:00:00:00:33 5
packet in 1 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 4
packet in 2 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:24 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:34 00:00:00:00:00:24 4
packet in 3 00:00:00:00:00:34 00:00:00:00:00:24 2
packet in 2 00:00:00:00:00:34 00:00:00:00:00:24 2
packet in 1 00:00:00:00:00:34 00:00:00:00:00:24 5
packet in 1 00:00:00:00:00:24 00:00:00:00:00:34 4
packet in 2 00:00:00:00:00:24 00:00:00:00:00:34 1
packet in 3 00:00:00:00:00:24 00:00:00:00:00:34 1
packet in 4 00:00:00:00:00:24 00:00:00:00:00:34 5
packet in 4 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:32 00:00:00:00:00:31 2
packet in 3 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:31 00:00:00:00:00:32 1
packet in 2 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 2
packet in 1 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:33 00:00:00:00:00:31 3
packet in 3 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:31 00:00:00:00:00:33 1
packet in 2 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:34 00:00:00:00:00:31 4
packet in 3 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:31 00:00:00:00:00:34 1
packet in 2 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 2
packet in 1 00:00:00:00:00:31 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:32 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:33 00:00:00:00:00:32 3
packet in 3 00:00:00:00:00:32 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:32 00:00:00:00:00:33 2
packet in 2 00:00:00:00:00:32 ff:ff:ff:ff:ff:ff 2
packet in 1 00:00:00:00:00:32 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:32 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:34 00:00:00:00:00:32 4
packet in 3 00:00:00:00:00:32 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:32 00:00:00:00:00:34 2
packet in 2 00:00:00:00:00:32 ff:ff:ff:ff:ff:ff 2
packet in 1 00:00:00:00:00:32 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:33 ff:ff:ff:ff:ff:ff 3
packet in 4 00:00:00:00:00:34 00:00:00:00:00:33 4
packet in 3 00:00:00:00:00:33 ff:ff:ff:ff:ff:ff 2
packet in 4 00:00:00:00:00:33 00:00:00:00:00:34 3
packet in 2 00:00:00:00:00:33 ff:ff:ff:ff:ff:ff 2
packet in 1 00:00:00:00:00:33 ff:ff:ff:ff:ff:ff 5
(18533) accepted ('127.0.0.1', 46964)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/meterentry/add HTTP/1.1" 200 139 0.006215
(18533) accepted ('127.0.0.1', 46980)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/meterentry/add HTTP/1.1" 200 139 0.000626
(18533) accepted ('127.0.0.1', 46990)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/meterentry/add HTTP/1.1" 200 139 0.002387
(18533) accepted ('127.0.0.1', 47004)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/meterentry/add HTTP/1.1" 200 139 0.000756
(18533) accepted ('127.0.0.1', 47020)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/meterentry/add HTTP/1.1" 200 139 0.000465
