timestamp,cpu_percent,rss_mb,vms_mb
1750579478.5341523,5.0,45.81640625,57.03515625
1750579479.5356336,34.0,46.21484375,57.53515625
1750579480.536225,0.0,46.21484375,57.53515625
1750579481.5370479,0.0,46.21484375,57.53515625
1750579482.5377872,0.0,46.21484375,57.53515625
1750579483.5382266,0.0,46.21484375,57.53515625
1750579484.5396364,3.0,46.21484375,57.53515625
1750579485.5407698,0.0,46.21484375,57.53515625
1750579486.541197,0.0,46.21484375,57.53515625
1750579487.5421925,0.0,46.21484375,57.53515625
1750579488.5434709,0.0,46.21484375,57.53515625
1750579489.54383,0.0,46.21484375,57.53515625
1750579490.545045,0.0,46.21484375,57.53515625
1750579491.54574,0.0,46.21484375,57.53515625
1750579492.5465991,0.0,46.21484375,57.53515625
1750579493.5477586,0.0,46.21484375,57.53515625
1750579494.5486748,0.0,46.21484375,57.53515625
1750579495.5496635,0.0,46.21484375,57.53515625
1750579496.5511472,0.0,46.21484375,57.53515625
1750579497.552195,0.0,46.21484375,57.53515625
1750579498.5532074,0.0,46.21484375,57.53515625
1750579499.5543141,0.0,46.21484375,57.53515625
1750579500.5548737,0.0,46.21484375,57.53515625
1750579501.5557559,0.0,46.21484375,57.53515625
1750579502.556032,0.0,46.21484375,57.53515625
1750579503.557194,0.0,46.21484375,57.53515625
1750579504.5577319,1.0,46.21484375,57.53515625
1750579505.5580096,0.0,46.21484375,57.53515625
1750579506.558712,0.0,46.21484375,57.53515625
1750579507.559045,0.0,46.21484375,57.53515625
1750579508.5600646,0.0,46.21484375,57.53515625
1750579509.5604446,0.0,46.21484375,57.53515625
1750579510.561123,0.0,46.21484375,57.53515625
1750579511.5626638,0.0,46.21484375,57.53515625
1750579512.564279,0.0,46.21484375,57.53515625
1750579513.5655107,0.0,46.21484375,57.53515625
1750579514.5663836,0.0,46.21484375,57.53515625
1750579515.567195,0.0,46.21484375,57.53515625
1750579516.5684128,0.0,46.21484375,57.53515625
1750579517.5696585,0.0,46.21484375,57.53515625
1750579518.5709546,0.0,46.21484375,57.53515625
1750579519.5720599,0.0,46.21484375,57.53515625
1750579520.5725315,0.0,46.21484375,57.53515625
1750579521.5735376,0.0,46.21484375,57.53515625
1750579522.574463,0.0,46.21484375,57.53515625
1750579523.574961,0.0,46.21484375,57.53515625
1750579524.5755992,0.0,46.21484375,57.53515625
1750579525.5767567,0.0,46.21484375,57.53515625
1750579526.5780153,0.0,46.21484375,57.53515625
1750579527.5790076,0.0,46.21484375,57.53515625
1750579528.580218,0.0,46.21484375,57.53515625
1750579529.5811877,0.0,46.21484375,57.53515625
1750579530.582359,0.0,46.21484375,57.53515625
1750579531.5832782,0.0,46.21484375,57.53515625
1750579532.5841243,0.0,46.21484375,57.53515625
1750579533.584856,0.0,46.21484375,57.53515625
1750579534.5851939,0.0,46.21484375,57.53515625
1750579535.5865443,0.0,46.21484375,57.53515625
1750579536.5867925,0.0,46.21484375,57.53515625
1750579537.5870886,0.0,46.21484375,57.53515625
1750579538.5874803,0.0,46.21484375,57.53515625
1750579539.5880506,0.0,46.21484375,57.53515625
1750579540.5890574,0.0,46.21484375,57.53515625
1750579541.5903335,0.0,46.21484375,57.53515625
1750579542.5913627,0.0,46.21484375,57.53515625
1750579543.5918875,0.0,46.21484375,57.53515625
1750579544.5929456,1.0,46.21484375,57.53515625
1750579545.5943167,0.0,46.21484375,57.53515625
1750579546.5951848,0.0,46.21484375,57.53515625
1750579547.5963802,0.0,46.21484375,57.53515625
1750579548.596852,0.0,46.21484375,57.53515625
1750579549.5975156,0.0,46.21484375,57.53515625
1750579550.598811,0.0,46.21484375,57.53515625
1750579551.5998995,0.0,46.21484375,57.53515625
1750579552.6001987,0.0,46.21484375,57.53515625
1750579553.6005425,0.0,46.21484375,57.53515625
1750579554.6008976,0.0,46.21484375,57.53515625
1750579555.6016476,0.0,46.21484375,57.53515625
1750579556.6020262,0.0,46.21484375,57.53515625
1750579557.6024747,0.0,46.21484375,57.53515625
1750579558.6036448,0.0,46.21484375,57.53515625
1750579559.6043656,0.0,46.21484375,57.53515625
1750579560.6056614,0.0,46.21484375,57.53515625
1750579561.6069357,0.0,46.21484375,57.53515625
1750579562.6076117,0.0,46.21484375,57.53515625
1750579563.60854,0.0,46.21484375,57.53515625
1750579564.6098268,0.0,46.21484375,57.53515625
1750579565.6102839,0.0,46.21484375,57.53515625
1750579566.6108139,0.0,46.21484375,57.53515625
1750579567.6119628,0.0,46.21484375,57.53515625
1750579568.612726,0.0,46.21484375,57.53515625
1750579569.6131866,1.0,46.21484375,57.53515625
1750579570.613804,0.0,46.21484375,57.53515625
1750579571.6149566,0.0,46.21484375,57.53515625
1750579572.615591,0.0,46.21484375,57.53515625
1750579573.6168892,0.0,46.21484375,57.53515625
1750579574.6179686,0.0,46.21484375,57.53515625
1750579575.6193416,0.0,46.21484375,57.53515625
1750579576.6205716,0.0,46.21484375,57.53515625
1750579577.6219192,0.0,46.21484375,57.53515625
1750579578.6232803,0.0,46.21484375,57.53515625
