timestamp,cpu_percent,rss_mb,vms_mb
1750578729.860956,1.0,65.01171875,155.5078125
1750578730.8622048,22.0,65.01171875,155.5078125
1750578731.863581,16.0,65.2578125,155.5078125
1750578732.8641646,1.0,65.2578125,155.5078125
1750578733.8651435,0.0,65.2578125,155.5078125
1750578734.866015,1.0,65.2578125,155.5078125
1750578735.8672404,2.0,65.2578125,155.5078125
1750578736.868453,1.0,65.2578125,155.5078125
1750578737.869718,0.0,65.2578125,155.5078125
1750578738.870959,1.0,65.2578125,155.5078125
1750578739.8713226,3.0,65.2578125,155.5078125
1750578740.8724327,0.0,65.2578125,155.5078125
1750578741.8734193,1.0,65.2578125,155.5078125
1750578742.8740444,1.0,65.2578125,155.5078125
1750578743.8749545,0.0,65.2578125,155.5078125
1750578744.8752036,1.0,65.2578125,155.5078125
1750578745.8754957,0.0,65.2578125,155.5078125
1750578746.8768091,1.0,65.2578125,155.5078125
1750578747.877095,2.0,65.2578125,155.5078125
1750578748.8780086,0.0,65.2578125,155.5078125
1750578749.8784912,1.0,65.2578125,155.5078125
1750578750.8797941,1.0,65.2578125,155.5078125
1750578751.8809552,0.0,65.2578125,155.5078125
1750578752.8821437,1.0,65.2578125,155.5078125
1750578753.8834631,0.0,65.2578125,155.5078125
1750578754.8846645,1.0,65.2578125,155.5078125
1750578755.8858407,1.0,65.2578125,155.5078125
1750578756.8872402,0.0,65.2578125,155.5078125
1750578757.8877234,1.0,65.2578125,155.5078125
1750578758.888018,1.0,65.2578125,155.5078125
1750578759.8890653,0.0,65.2578125,155.5078125
1750578760.8893745,1.0,65.2578125,155.5078125
1750578761.8906791,1.0,65.2578125,155.5078125
1750578762.8918183,0.0,65.2578125,155.5078125
1750578763.8930352,1.0,65.2578125,155.5078125
1750578764.8946142,1.0,65.2578125,155.5078125
1750578765.8958716,1.0,65.2578125,155.5078125
1750578766.8969223,1.0,65.2578125,155.5078125
1750578767.8974552,0.0,65.2578125,155.5078125
1750578768.8986871,1.0,65.2578125,155.5078125
1750578769.8998997,0.0,65.2578125,155.5078125
1750578770.9011555,1.0,65.2578125,155.5078125
1750578771.902249,1.0,65.2578125,155.5078125
1750578772.9034822,1.0,65.2578125,155.5078125
1750578773.9047945,0.0,65.2578125,155.5078125
1750578774.9056098,1.0,65.2578125,155.5078125
1750578775.9059937,1.0,65.2578125,155.5078125
1750578776.9067788,1.0,65.2578125,155.5078125
1750578777.9075825,0.0,65.2578125,155.5078125
1750578778.9082136,1.0,65.2578125,155.5078125
1750578779.9092853,0.0,65.2578125,155.5078125
1750578780.9101048,1.0,65.2578125,155.5078125
1750578781.9105303,1.0,65.2578125,155.5078125
1750578782.910888,0.0,65.2578125,155.5078125
1750578783.9119031,1.0,65.2578125,155.5078125
1750578784.9131722,1.0,65.2578125,155.5078125
1750578785.9142616,0.0,65.2578125,155.5078125
1750578786.9155586,1.0,65.2578125,155.5078125
1750578787.916107,1.0,65.2578125,155.5078125
1750578788.9164274,0.0,65.2578125,155.5078125
1750578789.917398,1.0,65.2578125,155.5078125
1750578790.9183924,1.0,65.2578125,155.5078125
1750578791.9186287,1.0,65.2578125,155.5078125
1750578792.9198036,1.0,65.2578125,155.5078125
1750578793.9208436,0.0,65.2578125,155.5078125
